t,yA,yT
0.271,0.8638183213258913,0.8633958521161437
0.272,0.862881942265574,0.862458713179293
0.273,0.861943126712389,0.8615191453394253
0.274,0.8610018848180191,0.8605771587550359
0.275,0.8600582267522585,0.8596327636025421
0.276,0.8591121627028311,0.8586859700761011
0.277,0.8581637028752072,0.8577367883874268
0.278,0.8572128574924214,0.8567852287656083
0.279,0.8562596367948898,0.855831301456926
0.28,0.8553040510402267,0.8548750167246695
0.281,0.8543461105030616,0.8539163848489538
0.28200000000000003,0.8533858254748562,0.852955416126537
0.28300000000000003,0.8524232062637206,0.8519921208706362
0.28400000000000003,0.85145826319423,0.8510265094107445
0.28500000000000003,0.8504910066072414,0.8500585920924472
0.28600000000000003,0.8495214468597092,0.8490883792772381
0.28700000000000003,0.8485495943245017,0.8481158813423362
0.28800000000000003,0.8475754593902172,0.8471411086805012
0.289,0.8465990524609996,0.8461640716998498
0.29,0.8456203839563547,0.8451847808236714
0.291,0.8446394643109654,0.8442032464902446
0.292,0.8436563039745074,0.843219479152652
0.293,0.8426709134114652,0.8422334892785965
0.294,0.841683303100947,0.8412452873502166
0.295,0.8406934835365003,0.8402548838639021
0.296,0.8397014652259273,0.8392622893301093
0.297,0.8387072586910997,0.8382675142731764
0.298,0.8377108744677747,0.8372705692311392
0.299,0.8367123231054091,0.8362714647555457
0.3,0.835711615166975,0.835270211411272
0.301,0.8347087612287747,0.834266819776337
0.302,0.8337037718802552,0.8332613004417174
0.303,0.8326966577238238,0.8322536640111635
0.304,0.8316874293746626,0.8312439211010133
0.305,0.8306760974605429,0.8302320823400083
0.306,0.8296626726216411,0.8292181583691081
0.307,0.8286471655103522,0.8282021598413053
0.308,0.8276295867911055,0.827184097421441
0.309,0.8266099471401789,0.8261639817860189
0.31,0.8255882572455137,0.825141823623021
0.311,0.8245645278065292,0.8241176336317224
0.312,0.8235387695339379,0.8230914225225058
0.313,0.8225109931495596,0.8220632010166767
0.314,0.8214812093861363,0.821032979846279
0.315,0.8204494289871473,0.8200007697539087
0.316,0.8194156627066236,0.81896658149253
0.317,0.8183799213089624,0.8179304258252899
0.318,0.8173422155687426,0.8168923135253331
0.319,0.8163025562705392,0.8158522553756177
0.32,0.8152609542087379,0.8148102621687294
0.321,0.8142174201873507,0.8137663447066975
0.322,0.8131719650198301,0.8127205138008098
0.323,0.8121245995288846,0.8116727802714276
0.324,0.8110753345462933,0.8106231549478017
0.325,0.8100241809127213,0.8095716486678869
0.326,0.8089711494775348,0.8085182722781583
0.327,0.8079162510986161,0.8074630366334263
0.328,0.8068594966421792,0.8064059525966525
0.329,0.8058008969825846,0.8053470310387648
0.33,0.8047404630021555,0.804286282838474
0.331,0.8036782055909927,0.8032237188820889
0.332,0.8026141356467902,0.8021593500633326
0.333,0.8015482640746513,0.8010931872831584
0.334,0.8004806017869038,0.8000252414495661
0.335,0.7994111597029165,0.7989555234774179
0.336,0.7983399487489147,0.7978840442882552
0.337,0.7972669798577962,0.7968108148101142
0.338,0.7961922639689478,0.7957358459773436
0.339,0.7951158120280618,0.7946591487304203
0.34,0.7940376349869518,0.7935807340157667
0.341,0.7929577438033696,0.7925006127855677
0.342,0.7918761494408217,0.7914187959975874
0.343,0.7907928628683867,0.7903352946149864
0.34400000000000003,0.7897078950605313,0.7892501196061394
0.34500000000000003,0.788621256996928,0.7881632819444526
0.34600000000000003,0.7875329596622722,0.7870747926081811
0.34700000000000003,0.7864430140460996,0.7859846625802468
0.34800000000000003,0.7853514311426036,0.7848929028480566
0.34900000000000003,0.7842582219504531,0.78379952440332
0.35000000000000003,0.7831633974726103,0.7827045382418681
0.35100000000000003,0.7820669687161487,0.7816079553634714
0.352,0.7809689466920712,0.7805097867716587
0.353,0.7798693424151287,0.7794100434735358
0.354,0.7787681669036386,0.7783087364796047
0.355,0.7776654311793031,0.7772058768035824
0.356,0.7765611462670284,0.7761014754622209
0.357,0.7754553231947442,0.7749955434751257
0.358,0.7743479729932221,0.7738880918645767
0.359,0.7732391066958958,0.7727791316553477
0.36,0.7721287353386805,0.7716686738745262
0.361,0.7710168699597928,0.7705567295513343
0.362,0.7699035215995709,0.7694433097169489
0.363,0.7687887013002946,0.7683284254043229
0.364,0.7676724201060066,0.7672120876480062
0.365,0.7665546890623323,0.7660943074839663
